Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.856734	0.966549	
1	0.986496	0.846924	0.87869	
0.572212	0.970185	0.829472	0.778642	
0.379453	0.905871	0.854721	0.753757	
1	1	0.765538	0.962037	
1	0.993002	0.759004	0.850523	
0.61467	0.944522	0.725137	0.718386	
0.468501	0.867306	0.741163	0.687248	
1	1	0.549466	0.961815	
1	0.992398	0.614018	0.844682	
0.634498	0.923987	0.576988	0.66846	
0.49562	0.798827	0.583295	0.638612	
1	1	0.40124	0.954936	
1	0.991235	0.426149	0.838903	
0.662208	0.885968	0.409201	0.669021	
0.511492	0.761484	0.413264	0.601414	
1	1	0.238065	0.942337	
1	0.998056	0.253963	0.83758	
0.679264	0.862434	0.264623	0.681268	
0.549404	0.688464	0.261845	0.587301	
1	1	0.135733	0.934714	
1	0.999766	0.146796	0.826708	
0.697561	0.848646	0.130394	0.692247	
0.573442	0.635917	0.139113	0.598433	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	8092.2	7065	8624.96	
11565.5	7862.09	7070.44	9540.67	
11605.8	7458.46	7044.23	9040.86	
11605.8	7398.36	7024.66	8469.89	
8857.03	8256.22	7217.24	8703.37	
11555.5	8378	7205.32	9971.85	
11605.8	7951.83	7239.52	10183.6	
11605.8	7740.81	7211.06	9389.49	
8843.36	8566.63	7337.85	8782.52	
11547.4	8916.61	7329.01	10340.5	
11605.8	8628.13	7332.99	10725.6	
11605.8	8187.57	7306.44	10082.9	
8831.01	8680.57	7379.71	8756.64	
11530.8	9334.76	7369.78	10507.5	
11605.8	9137.8	7380.87	11082.2	
11605.8	8609.33	7368.09	10606	
8823.99	8819.46	7403.18	8732.49	
11514.7	10255.6	7400.91	10629.3	
11605.8	9796.92	7399.41	11341	
11605.8	9213.73	7398.91	11104.1	
8817.24	8817.24	7403.7	8707.24	
11498.4	10885	7403.7	10622.1	
11605.8	10486.5	7403.69	11426.2	
11605.8	9725.19	7403.51	11396.6	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	591384	927269	601654	
1572260	1044581	973576	825916	
924350	1307748	1064018	870485	
655820	1377307	1269204	1034822	
720325	699257	1340378	740245	
1907115	1344639	1305496	1018357	
1337140	1769892	1377184	1052128	
1019105	1813440	1484030	1210230	
827680	810544	1443299	899574	
2283330	1682198	1621717	1179756	
1686265	2225102	1553682	1185455	
1373665	2140504	1512448	1339130	
929335	914706	1337452	1020945	
2611130	1961410	1380070	1316510	
2118220	2587045	1390516	1348819	
1757210	2504914	1342215	1469202	
1137430	1136950	1031312	1339637	
3270590	2700022	1096567	1701571	
2709295	3265148	1164159	1695408	
2496320	2997816	1197511	1805949	
1331760	1331760	709622	1553834	
3844355	3450272	778772	2100989	
3143315	3756283	733490	2030053	
2981595	3265732	744610	2117038	


CloudEng
NOFLD	myOFLD	AOFLDC	SeGW
0	72330	307920	23956	
0	388228	596487	203246	
0	789808	882975	522339	
0	1065444	1165919	898420	
0	34352	302315	11794	
0	309340	586661	132976	
0	701168	860652	312652	
0	993364	1122138	690607	
0	5832	287389	0	
0	231851	555547	71925	
0	564151	811322	189152	
0	878850	1054257	485944	
0	1030	269317	0	
0	162619	512830	40075	
0	488262	742719	109406	
0	768759	964071	317896	
0	0	241643	0	
0	49404	441956	11518	
0	380033	637515	46809	
0	631359	818623	169004	
0	0	210069	0	
0	13487	376721	1619	
0	240616	533530	29403	
0	507229	693194	66920	


FogEng
NOFLD	myOFLD	AOFLDC	SeGW
7825	8274	7825	7825	
7825	9084	7825	7825	
7825	8390	7825	7825	
7825	8140	7825	7825	
7825	8532	7825	7825	
7825	9368	7825	7825	
7825	9171	7825	7825	
7825	8800	7825	7825	
7825	8314	7825	7825	
7825	9577	7825	7825	
7825	9914	7825	7825	
7825	9303	7825	7825	
7825	8124	7825	7825	
7825	9798	7825	7825	
7825	9873	7825	7825	
7825	9787	7825	7825	
7825	7834	7825	7825	
7825	9675	7825	7825	
7825	9896	7825	7825	
7825	10266	7825	7825	
7825	7825	7825	7825	
7825	8892	7825	7825	
7825	9887	7825	7825	
7825	10129	7825	7825	


