Meet_R
NOFLD	myOFLD	AOFLDC	SeGW
1	1	0.856734	0.966549	
1	0.987413	0.846924	0.87869	
0.572212	0.970179	0.829472	0.778642	
0.379453	0.906077	0.854721	0.753757	
1	1	0.765538	0.962037	
1	0.991694	0.759004	0.850523	
0.61467	0.950416	0.725137	0.718386	
0.468501	0.872917	0.741163	0.687248	
1	1	0.549466	0.961815	
1	0.992934	0.614018	0.844682	
0.634498	0.925333	0.576988	0.66846	
0.49562	0.800481	0.583295	0.638612	
1	1	0.40124	0.954936	
1	0.989339	0.426149	0.838903	
0.662208	0.887744	0.409201	0.669021	
0.511492	0.761171	0.413264	0.601414	
1	1	0.238065	0.942337	
1	0.996351	0.253963	0.83758	
0.679264	0.861497	0.264623	0.681268	
0.549404	0.688132	0.261845	0.587301	
1	1	0.135733	0.934714	
1	0.998043	0.146796	0.826708	
0.697561	0.848548	0.130394	0.692247	
0.573442	0.635973	0.139113	0.598433	


Energy
NOFLD	myOFLD	AOFLDC	SeGW
8864.46	8030.01	7065	8624.96	
11565.5	7787.52	7070.44	9540.67	
11605.8	7435.41	7044.23	9040.86	
11605.8	7384.34	7024.66	8469.89	
8857.03	8230.36	7217.24	8703.37	
11555.5	8307.22	7205.32	9971.85	
11605.8	7909.65	7239.52	10183.6	
11605.8	7711.71	7211.06	9389.49	
8843.36	8557.48	7337.85	8782.52	
11547.4	8850.11	7329.01	10340.5	
11605.8	8570.26	7332.99	10725.6	
11605.8	8168.44	7306.44	10082.9	
8831.01	8680.5	7379.71	8756.64	
11530.8	9311.2	7369.78	10507.5	
11605.8	9109.54	7380.87	11082.2	
11605.8	8590.02	7368.09	10606	
8823.99	8819.46	7403.18	8732.49	
11514.7	10261.3	7400.91	10629.3	
11605.8	9792.43	7399.41	11341	
11605.8	9206.67	7398.91	11104.1	
8817.24	8817.24	7403.7	8707.24	
11498.4	10889	7403.7	10622.1	
11605.8	10487.4	7403.69	11426.2	
11605.8	9725.2	7403.51	11396.6	


Resp
NOFLD	myOFLD	AOFLDC	SeGW
615635	586117	927269	601654	
1572260	1029589	973576	825916	
924350	1300355	1064018	870485	
655820	1375157	1269204	1034822	
720325	698376	1340378	740245	
1907115	1327571	1305496	1018357	
1337140	1755047	1377184	1052128	
1019105	1816755	1484030	1210230	
827680	810795	1443299	899574	
2283330	1653715	1621717	1179756	
1686265	2196688	1553682	1185455	
1373665	2139011	1512448	1339130	
929335	914689	1337452	1020945	
2611130	1955563	1380070	1316510	
2118220	2581416	1390516	1348819	
1757210	2503756	1342215	1469202	
1137430	1136950	1031312	1339637	
3270590	2678802	1096567	1701571	
2709295	3255400	1164159	1695408	
2496320	2992454	1197511	1805949	
1331760	1331760	709622	1553834	
3844355	3435246	778772	2100989	
3143315	3755534	733490	2030053	
2981595	3266507	744610	2117038	


CloudEng
NOFLD	myOFLD	AOFLDC	SeGW
0	72330	307920	23956	
0	388122	596487	203246	
0	789808	882975	522339	
0	1065536	1165919	898420	
0	34352	302315	11794	
0	309340	586661	132976	
0	701212	860652	312652	
0	996253	1122138	690607	
0	5832	287389	0	
0	232042	555547	71925	
0	563448	811322	189152	
0	879634	1054257	485944	
0	1030	269317	0	
0	162619	512830	40075	
0	488129	742719	109406	
0	767037	964071	317896	
0	0	241643	0	
0	49404	441956	11518	
0	380033	637515	46809	
0	631359	818623	169004	
0	0	210069	0	
0	13487	376721	1619	
0	240616	533530	29403	
0	507229	693194	66920	


FogEng
NOFLD	myOFLD	AOFLDC	SeGW
7825	8399	7825	7825	
7825	9235	7825	7825	
7825	8435	7825	7825	
7825	8169	7825	7825	
7825	8584	7825	7825	
7825	9509	7825	7825	
7825	9261	7825	7825	
7825	8861	7825	7825	
7825	8332	7825	7825	
7825	9706	7825	7825	
7825	10048	7825	7825	
7825	9357	7825	7825	
7825	8124	7825	7825	
7825	9834	7825	7825	
7825	9922	7825	7825	
7825	9864	7825	7825	
7825	7834	7825	7825	
7825	9645	7825	7825	
7825	9885	7825	7825	
7825	10287	7825	7825	
7825	7825	7825	7825	
7825	8863	7825	7825	
7825	9882	7825	7825	
7825	10128	7825	7825	


